"nuts2_code","year","urban_coverage%"
"UKH2",2018,11.4
"UKH3",2018,12
"UKI",2018,41.1
"UKI3",2018,57.2
"UKI4",2018,50.5
"UKI5",2018,37.4
"UKI6",2018,33.8
"UKI7",2018,42.3
"UKJ",2018,10.6
"UKJ1",2018,9.4
"UKJ2",2018,11.6
"UKJ3",2018,10.6
"UKJ4",2018,11.1
"UKK",2018,7.6
"UKK1",2018,7.9
"UKK2",2018,8.9
"UKK3",2018,8
"UKK4",2018,5.8
"UKL",2018,5.3
"UKL1",2018,5.3
"UKL2",2018,5.4
"UKM",2018,2.2
"UKM5",2018,2.7
"UKM6",2018,0.8
"UKM7",2018,4.2
