Substance	ISO	Country	Subnational code *	Subnational desc	Sector	Y_2017	Y_2018	Y_2019	Y_2020	Y_2021	Y_2022	Y_2023
GWP_100_AR5_GHG	AUT	Austria	AT22	Steiermark	Energy	3450,397947	3133,335089	3118,690103	3426,85751	2615,611146	2352,205081	2174,668935
GWP_100_AR5_GHG	AUT	Austria	AT22	Steiermark	Indirect	39,52900701	37,6436731	36,35748353	32,00078095	32,62880961	29,58160484	27,65170588
GWP_100_AR5_GHG	AUT	Austria	AT22	Steiermark	Industry	5187,080659	4911,690379	4918,242317	4661,914875	4925,9721	4771,694995	4446,617672
GWP_100_AR5_GHG	AUT	Austria	AT22	Steiermark	Transport	4384,54944	4433,291245	4447,833231	3903,018023	4015,938796	3805,327525	3802,0629
GWP_100_AR5_GHG	AUT	Austria	AT22	Steiermark	Waste	860,4180409	888,6068694	902,0086866	893,4343662	928,1594668	930,9261646	931,9613286
GWP_100_AR5_GHG	AUT	Austria	AT31	Oberösterreich	Agriculture	2010,399468	1973,996405	1958,873874	1946,891608	1941,688067	1931,492954	1929,031826
GWP_100_AR5_GHG	AUT	Austria	AT31	Oberösterreich	Buildings	1626,96087	1464,89168	1514,871695	1509,053782	1686,739381	1425,393102	1333,269594
GWP_100_AR5_GHG	AUT	Austria	AT31	Oberösterreich	Energy	2748,834692	2460,329829	2540,575768	2302,050817	2742,046803	2489,834627	2272,669379
GWP_100_AR5_GHG	AUT	Austria	AT31	Oberösterreich	Indirect	32,46848896	30,91990609	29,86345072	26,28492547	26,80077808	24,29785322	22,71266533
GWP_100_AR5_GHG	AUT	Austria	AT31	Oberösterreich	Industry	10177,95265	9386,892828	9774,225505	9738,627446	10318,55189	9748,53859	9253,686378
GWP_100_AR5_GHG	AUT	Austria	AT31	Oberösterreich	Transport	4140,997618	4178,766785	4183,075172	3660,079026	3758,412877	3560,396317	3549,847017
GWP_100_AR5_GHG	AUT	Austria	AT31	Oberösterreich	Waste	376,3124276	402,2079226	408,4117072	408,1181942	420,483436	433,5225904	447,1284737
